year,lon,atl,Alk-N,Aspect,AP,Elevation,AK,TN,TP,Precipitation,SOM,Slope,SK,pH
1982,110.431738,36.678228,,347.4474448,,664,,0.212500006,0.44749999,442.0258353,2.33,42.88329445,,8.274999619
1982,110.477028,34.940324,,211.3807879,,351,,0.462500006,0.527499974,591.5553221,5.3,2.17176776,,8.024999619
1982,110.524792,34.908831,,0,,351,,0.486000001,0.425999999,582.1077509,4.52,4.627367506,,8.920000076
1982,110.589127,36.81788635,,109.8113257,,1116,,0.496666667,0.540000021,442.4483296,6.8,23.26095038,,8.199999809
1982,110.599546,36.556695,,217.4557644,,1080,,0.397500008,0.512499988,432.5615503,5.08,14.84748035,,
1982,110.601131,35.315788,,162.9659382,,631,,0.40200001,0.284000009,671.3493216,5.22,3.874268853,,8.56000042
1982,110.658377,38.095502,,215.2194504,,1051,,0.189999998,0.524999976,369.4097569,2.88,10.11149621,,8.050000191
1982,110.6877136,35.221404,,129.2464053,,567,,0.685000002,0.550000012,691.2224967,8.8,2.929495621,,8.375
1982,110.694149,38.33666611,,311.6359281,,817,,0.349999994,1.164999962,395.284987,5.15,22.49931412,,8.125
1982,110.697403,35.650907,,292.1115133,,439,,0.423999995,0.472000003,635.2650631,4.7,2.462524122,,8.279999733
1982,110.713109,35.701043,,230.9209082,,499,,0.379999995,0.504999995,601.0181708,5.3,2.939999013,,8.399999619
1982,110.750507,34.736175,,129.4128554,,576,,0.409999996,0.995714286,611.7019727,6.2,1.460520365,,8.171428571
1982,110.754718,35.676626,,112.1051187,,486,,0.414999992,0.389999986,598.1688087,8.18,2.463199929,,8.300000191
1982,110.833446,34.957006,,74.71997927,,348,,0.540000021,0.622500002,656.6635932,7.25,3.514983389,,8.100000381
1982,110.840991,37.479871,,78.77871341,,905,,0.349999994,0.582000017,483.0677875,5.1,9.44582367,,8.260000229
1982,110.841997,35.242748,,0,,533,,0.430000007,0.189999998,682.3891136,2.17,0.927409937,,8
1982,110.853638,35.145644,,0,,396,,0.433999985,0.610000014,685.194853,5.36,0.927409937,,9.140000343
1982,110.877124,34.94063187,,118.6565071,,356,,0.377499998,0.519999981,623.2449964,5.13,3.862250675,,8.649999619
1982,110.889848,37.702319,,42.46600561,,776,,0.416000009,1.279999971,417.2540093,6.24,32.47195887,,8.359999657
1982,110.904292,37.640608,,56.17659695,,968,,0.151999995,0.593999982,443.4180731,3.06,17.73928202,,8.399999619
1982,110.916708,34.75937653,,242.8208343,,469,,0.476000011,0.925999999,535.6062735,6.66,19.51397345,,8.020000458
1982,110.921331,37.093588,,299.6723643,,1031,,0.355555556,0.652222222,437.0951194,4.76,9.285684705,,8.377777778
1982,110.969178,35.474872,,0,,543,,0.444000006,0.55400002,700.20903,6.04,1.854334169,,8.359999657
1982,111.007535,35.03487396,,230.6892357,,367,,0.653333333,0.523333333,615.5764714,10.27,1.463694952,,8.466666667
1982,111.062718,34.819631,,146.1798498,,521,,0.349999994,0.354000002,500.1543076,4.74,21.29068464,,8.279999733
1982,111.071798,35.71468353,,202.32024,,532,,0.777999997,0.522000015,574.9520592,18.1,3.005074311,,8.180000305
1982,111.079189,38.318303,,221.7393221,,1181,,0.275000006,0.587499976,420.9011607,4.28,12.2401612,,8.175000191
1982,111.153988,37.42127228,,320.8289256,,1102,,0.537999988,0.568000019,486.0110474,7.4,19.54312763,,7.760000229
